Country,Image
Austria,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/austria-flag-round-icon-128.png
Brazil,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/brazil-flag-round-icon-128.png
China,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/china-flag-round-icon-128.png
Croatia,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/croatia-flag-round-icon-128.png
Czechia,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/czech-republic-flag-round-icon-128.png
Denmark,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/denmark-flag-round-icon-128.png
Faroe_Islands,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/faroe-islands-flag-round-icon-128.png
Greece,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/greece-flag-round-icon-128.png
Hong_Kong_S.A.R.,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/hongkong-flag-round-icon-128.png
Hungary,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/hungary-flag-round-icon-128.png
Ireland,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/ireland-flag-round-icon-128.png
Jersey,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/new-jersey-flag-round-icon-128.png
Macau_S.A.R.,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/macau-flag-round-large.png
Norway,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/norway-flag-round-icon-128.png
Poland,https://github.com/jdan0003/FIT3179DataVis2/blob/main/poland-flag-round-icon-128.png?raw=true
Singapore,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/singapore-flag-round-icon-128.png
South_Korea,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/south-korea-flag-round-icon-128.png
Taiwan,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/taiwan-flag-round-icon-128.png
Thailand,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/thailand-flag-round-icon-128.png
United_Kingdom,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/united-kingdom-flag-round-icon-128.png
Sweden,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/sweden-flag-round-icon-128.png
United_States,https://raw.githubusercontent.com/jdan0003/FIT3179DataVis2/main/united-states-of-america-flag-round-icon-128.png
